tr_build_id,test04SearchByLocation,,testAppendChildErrors,testGetChildNodes,testReplaceChildWithFragment,testSiblingMethods,testInsertBeforeWithFragment,testInsertBefore,testGetParentNode,testReplaceChild,testRemoveChildNode,testSubstringData,testGetData,testReplaceData,testInsertData,testDeleteData,testSplitText,testGetLength,testAppendData,testSetData,testIsElementContentWhitespace,test01CreatePage,testGetElementsByTagName,testXPath,testAppendChild,testSiblingPerformance,testAppendWithFragment,testAttributeNodeMethods,testGetTagName,testAttributeMethods,testSimpleXPath,testXPathAttributes,testImportNodesDeep,testAdoptNodes,testNormalize,testRenderTree,test01Paging,test010CreateEmptyTestObject,test020CreateNamedTestObject,testBasics,testSearch,testViaRest,testManyToMany,test01CreateTestOne,test02SortTestOne,test02PagingOfSubresources,RenderDataTest,PerformanceTest,org,CreatePageTest,PageTest,ThumbnailTest,ResourceAccessTest,SuccessfulLoginTest,RenamePageTest,InlineEditingTest,DragElementTest,FailedLoginTest,FtpFilesTest,FtpDirectoriesTest,FtpAccessTest,SearchResultsTest,JSON,EntityResourceBasicTest,JSON path serialization_time doesn't match,Expected,Actual,CreateAndEditFileTest,CreateFolderTest,AddElementToPageTest,PageVisibilityTest,CreateUserTest,DiffTest,<div>[,<h2>two</h2>,]</div>,<div>,<div>[two]</div>,<html>,<head>,<title>Title</title>,</head>,<body>,<h2>one</h2>,</div>,<h2>three</h2>,<h2>four</h2>,</body>,</html>]> but was,"<h2 class=""""foo"""" id=""""two"""">one</h2>","<h2 class=""""test"""">three</h2>",<body>[,<h1>Title text</h1>,]</body>,</html>> but was,<body>[]</body>,</html>>,</h,<div></div>,<div>]</div>,<[h2>title</h2>,<]a>text</a>,<[]a>text</a>,<h2>subtitle</h2>,<div>[]</div>,<div>Text,<p>two</p>,<div>Text </div>,<div>[</div>,<[h1>Title text</h1>,<]p>paragraph</p>,<[]p>paragraph</p>,<h1>title</h1>,<p>text</p>,<div>[one]</div>,JSON path query_time doesn't match,ActionContextTest,PropertyViewTest,JSON path result[0],[<html>,[]>,"<div class=""""test"""" id=""""one"""">",<h2>title</h2>,<a>text</a>,<body>Wurst</body>,<body>Test<b>bold</b>between<i>italic</i>Text</body>,<p>paragraph</p>,<body>Test<b>BOLD</b>BETWEEN<i>ITALIC</i>abcdef</body>,AdvancedSearchTest,RenderContextTest,"<div[ class=""""test"""" id=""""one""""]>",<div[]>,<[div>,</div]>,<[h1>Title text</h1]>,<h[2>title</h2>,<a>text</a]>,<h[1>title</h1>,<p>text</p]>,<div>Text[ ],<div>Text[],<div>Text[ ]</div>,<div>Text[]</div>,<body>[Wur]st</body>,<body>[Te]st</body>,<body>Test<[b>bold</b>between<i>italic</i>Text<]/body>,<body>Test<[]/body>,"<h2 class=""""[foo"""" id=""""two"""">one</h2>","<h2 class=""""test]"""">three</h2>",</d,"<h2 class=""""[test"""" id=""""one"""">one</h2>","<h2 id=""""three]"""">three</h2>",<body>Test<b>[BOLD</b>BETWEEN<i>ITALIC</i>abcdef]</body>,<body>Test<b>[bold</b>between<i>italic</i>Text]</body>,<[h1>title</h1>,AccessControlTest,FunctionPropertyTest,UiScriptingTest,StructrScriptableTest,DOMNodeTest,TestSuite$1,Tests in error,ImportTest,TestBulkCommands,GroupPropertyTest,ScriptingTest,TypePropertyTest,EnumPropertyRestTest,Expected status code <200> doesn't match actual status code <404>,SortTest,Expected status code <401> doesn't match actual status code <200>,StructrSchemaTest,}[],"},","""""id""""","}[,","""""Group""""","""""$extends""""","""""type""""","""""MailTemplate""""",}],"""""[]Project""""","""""m","""""[Group""""","""""]Project""""","""""p",JavascriptHintProviderTest,PlaintextHintProviderTest
3933358,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4191099,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4191157,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4218483,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4234427,P,F,F,F,P,F,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4278458,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4278968,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4279188,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4282242,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4282256,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
