tr_build_id,testIssue308,testAnotherModule,testRequestParms_error,testRequestParms,test_CheckSession,test_PathArgs,test_array_long_param,test_array_long_param2,test_abc_get,test_abc_post,test_abc_put,test_abc_delete,test_xyz_get,test_xyz_post,test_pathArgs_01,test_hello,test_at_map,,test_mapobj,test_array,test_list,test_map,testRender,testP_in_path,testEncode,test_err_param,testGet,test_cnd_pager,test_blob,test_entity_with_two_id,test_insert_2_pets_by_chain_to_map,test_fast_insert_2_pets_by_chain_to_map,fetch_all_links,test_fetchLinks_cnd,delete_links,delete_with,clear_links,update_links,update_with,fetch_links,fetch_links_as_list,delete_links_as_list,delete_with_as_list,clear_links_as_list,update_links_as_list,update_with_as_list,delete_links_partly,delete_with_partly,test_deleteWith_many,test_fetch_by_condition_in_special_char,test_clear_two_records,test_order_by,test_delete_null_many,query_records,query_records_pager,query_by_cri_equals_null,query_by_map_idkeyset,query_by_map_namekeyset,query_by_int_range,clear_by_int_range,query_by_long_range,query_by_special_char,query_by_special_char2,query_by_pager,query_by_like,query_by_like_ignorecase,fetch_by_name,fetch_record,query_records_pager_new,each_by_map_idkeyset,each_by_map_namekeyset,each_by_int_range,each_by_long_range,each_by_special_char,each_by_special_char2,each_by_pager,each_by_like,each_by_like_ignorecase,test_update_chain_and_cnd_by_in,test_update_chain_and_cnd,batch_update_partly,batch_update_relation,test_insert_update_chain_with_another_column_name,test_lazy_get,test_lazy_toJson,test_insert_by_el,test_issue_543,test2,testSetSetting,test_ignore_numbers,testPost,test_simple_update,test_name,test_req_path2,test_req_path3,test_dest_path,test_error_processor,testPointPath,test_NotPublicClass,testTwoNullAt,test_xyz_put,test_xyz_delete,test_blank_param_to_number,test_duplicate_name,test_normal_int,test_duplicated_name_params,test_array_to_string,test_string_to_string,test_date,test_balnk_param_to_number,test_req_path,testSet,testMap,testList,testListParam,testMapParam,testArray,test_upload_special_char,test_upload_multi_item_in_GBK,test_upload_chinese_filename,test_upload_1txt_3img,test_upload_queryString,test_upload_onlyQueryString,test_cast_dt01,test_upload_text_with_newline_ending,test_limit_file_content_type_fail,test_limit_file_name_fail,test_limit_file_size_ok,test_limit_file_size_fail,test_upload_ignore_null,test_get_element_cast_type,test_simple,test_jsonAop,test_dao_func,test_chinese_param_name,structureConvertRoot2Array,structureConvertArray2Root,test_chinese_var_name,test_get_canonical_path,test_batch_update_rollback,test_issue312,test_update_rollback,testNestedCommit,testNestedRollback,testRollback,try_insert_static_objects_by_many_many,try_insert_multiple_dynamic_objects,try_insert_multiple_companys,testTransLevel,testReadCommitted,testSerializable,eval_manys,eval_manys_with_null_field,eval_manymany,eval_id_name,test_pk_multiple,test_pk_id,test_pk_name,test_pk_order,test_complex_pojo_without_db,test_pk_and_name_in_same_pojo,test_extends_tables_name,test_override_field,tank_many_many_link_test,test_insert_DPet,test_insert_3_pets,test_query_without_entity,test_dynamic_insert,test_dynamic_query,test_statice_null_field,test_fetchBooleanCallback,insert_links_with_exception,fetch_null_field_links,delete_null_field_links,delete_null_field_links_partly,clear_null_field_links,insert_links,test_insert_by_filter,test_update_by_filter,test_select_by_filter,test_query_by_filter,test_filter_no_field_match,test_escape_char,test_simple_fetch_record,test_delete_list,test_count_with_entity,test_table_exists,test_count_by_condition,run_2_sqls_with_error,test_delete_records,test_integer_object_column,test_insert_readonly,test_clear,test_chain_insert,test_sql_pager,test_fetch_null_name,test_create_error_class,test_insert_with,test_insert_special_chain,test_issue_726,test_fastinsert_as_rollback,test_fastInsert_rollback_jdbc,test_insert_by_fieldfilter,test_query_by_fieldfilter,test_fetcy_by_fieldfilter,test_record_to_entity,query_by_wrap_null,query_by_orderbyset,each_by_loop,each_by_orderbyset,test_update_ignore_null,test_updateIgnoreNull_width_default,batch_update_all,fetch_by_name_ignorecase,test_update_obj_with_readonly_field,update_with_null_links,test_updateIgnoreNull,test_updateIgnoreNull_by_list,test_update_self_plus,insert_char_field,insert_timestamp_field,check_for_sqlTime,check_update_sqlTimestamp,check_if_support_all_normal_types,check_insert_null_timestamp_field,test_var_in_prev,test_fetch_by_pks,test_delete_by_pks,test_delete_by_object,test_fetch_by_object,test_update,test_error_ann_id,test_error_ann_name,test_simple_byte_array,test_big_blob,test_clob,createTableInPostgersqlAndH2,test_null_timestamp,test_segment,test_gt_like,test_bracket,test_order,test_like_in,test_equel,test_in_by_int_array,test_in_by_int_list,test_in_by_str_array,test_in_by_str_list,test_is_null,test_is_not_null,test_not_in,test_add_other_or_method_by_github_issuse_148,test_other_op,testUpdate,testBatchUpdate,testQueryForInt,testQueryForLong,testQueryForObjectClassOfT,testQueryForObjectEntityOfT,testQueryForRecord,testQueryEntity1,testQueryEntity2,testQueryForList,testQueryRecords,testSqlInExp,initializationError,test_yeelink,test_12306,test_chunked_content,test_default_value,testIssue322,test_360safe,test_aop_trans_1,test_https,test_json_err_ctx,testGetMirror,testInvokeObjectMethodObjectArray,test_duplicate_class_exception,test_return_array_method,test_basice_listener,test_basice_matcher_by_mod,testCreat,testDupAop,testBorn,testCreate2,testConstructors,testConstructor2,testReturnPrimitive,testReturnPrimitiveArray,testReturnObject,testArgs,test_annotation,test_signature,testRegexMethodMatcherStringStringInt,test_from_obj,test_insert_with_id,test_fetchLinks,test_use_blob_clob,test_in,test_dynamic_migration,test_cookie,test_ys7
5015461,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
6004123,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
7723403,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
7725779,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
7862020,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
7862026,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
7894825,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
7894875,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
7895817,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
7898566,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
